exp,x22b0,x22b1,x22b2,x32b0,x32b1,x32b2,pp,qq,e1ss,e2ss,beta_0,beta_1,beta_2,beta_3,beta_4,beta_5,beta_6,beta_11,beta_12,beta_13,beta_m1,beta_m2,beta_m3,gma_0,gma_1,gma_2,gma_3,gma_4,gma_5,gma_6,gma_7,gma_8,gma_9,gma_11,gma_12,gma_13,gma_m1,gma_m2,gma_m3,eta,n,m,agemean,agesd,psb0,psb1,psb2,psb3,rctagemean,rctagesd,x21rctp,x31rctp,x21osp,x31osp,n1mean,n1sd,n2mean,n2sd,n3mean,n3sd,n4mean,n5mean,n7mean,n7sd,n8mean,n9mean,n6min,n6max,n10mean,n10sd,w
standard,0,1,-0.5,0,1,0.7,0.5,0.5,0.5,1,4.5,-1,0.3,0,0,-1,2,-0.3,-0.6,-0.01,0,0,0,4.5,-1,0.2,-0.1,1,-1,-1.5,0.1,-0.5,0.3,-0.3,-0.6,-0.01,0,0,0,2,630,1000,52,8,0,0,-1,0.5,52,8,0.2,0.3,0.2,0.3,0,5,10,3,0.5,0.15,0.4,0.75,10,2.5,0.5,0.5,3,60,10,1,0.386503067
n315m1315,0,1,-0.5,0,1,0.7,0.5,0.5,0.5,1,4.5,-1,0.3,0,0,-1,2,-0.3,-0.6,-0.01,0,0,0,4.5,-1,0.2,-0.1,1,-1,-1.5,0.1,-0.5,0.3,-0.3,-0.6,-0.01,0,0,0,2,315,1315,52,8,0,0,-1,0.5,52,8,0.2,0.3,0.2,0.3,0,5,10,3,0.5,0.15,0.4,0.75,10,2.5,0.5,0.5,3,60,10,1,0.193251534
n815m815,0,1,-0.5,0,1,0.7,0.5,0.5,0.5,1,4.5,-1,0.3,0,0,-1,2,-0.3,-0.6,-0.01,0,0,0,4.5,-1,0.2,-0.1,1,-1,-1.5,0.1,-0.5,0.3,-0.3,-0.6,-0.01,0,0,0,2,815,815,52,8,0,0,-1,0.5,52,8,0.2,0.3,0.2,0.3,0,5,10,3,0.5,0.15,0.4,0.75,10,2.5,0.5,0.5,3,60,10,1,0.5
n1000m315,0,1,-0.5,0,1,0.7,0.5,0.5,0.5,1,4.5,-1,0.3,0,0,-1,2,-0.3,-0.6,-0.01,0,0,0,4.5,-1,0.2,-0.1,1,-1,-1.5,0.1,-0.5,0.3,-0.3,-0.6,-0.01,0,0,0,2,1000,630,52,8,0,0,-1,0.5,52,8,0.2,0.3,0.2,0.3,0,5,10,3,0.5,0.15,0.4,0.75,10,2.5,0.5,0.5,3,60,10,1,0.613496933
obs200,0,1,-0.5,0,1,0.7,0.5,0.5,0.5,1,4.5,-1,0.3,0,0,-1,2,-0.3,-0.6,-0.01,0,0,0,4.5,-1,0.2,-0.1,1,-1,-1.5,0.1,-0.5,0.3,-0.3,-0.6,-0.01,0,0,0,2,630,200,52,8,0,0,-1,0.5,52,8,0.2,0.3,0.2,0.3,0,5,10,3,0.5,0.15,0.4,0.75,10,2.5,0.5,0.5,3,60,10,1,0.759036145
obs400,0,1,-0.5,0,1,0.7,0.5,0.5,0.5,1,4.5,-1,0.3,0,0,-1,2,-0.3,-0.6,-0.01,0,0,0,4.5,-1,0.2,-0.1,1,-1,-1.5,0.1,-0.5,0.3,-0.3,-0.6,-0.01,0,0,0,2,630,400,52,8,0,0,-1,0.5,52,8,0.2,0.3,0.2,0.3,0,5,10,3,0.5,0.15,0.4,0.75,10,2.5,0.5,0.5,3,60,10,1,0.611650485
obs600,0,1,-0.5,0,1,0.7,0.5,0.5,0.5,1,4.5,-1,0.3,0,0,-1,2,-0.3,-0.6,-0.01,0,0,0,4.5,-1,0.2,-0.1,1,-1,-1.5,0.1,-0.5,0.3,-0.3,-0.6,-0.01,0,0,0,2,630,600,52,8,0,0,-1,0.5,52,8,0.2,0.3,0.2,0.3,0,5,10,3,0.5,0.15,0.4,0.75,10,2.5,0.5,0.5,3,60,10,1,0.512195122
obs800,0,1,-0.5,0,1,0.7,0.5,0.5,0.5,1,4.5,-1,0.3,0,0,-1,2,-0.3,-0.6,-0.01,0,0,0,4.5,-1,0.2,-0.1,1,-1,-1.5,0.1,-0.5,0.3,-0.3,-0.6,-0.01,0,0,0,2,630,800,52,8,0,0,-1,0.5,52,8,0.2,0.3,0.2,0.3,0,5,10,3,0.5,0.15,0.4,0.75,10,2.5,0.5,0.5,3,60,10,1,0.440559441
obs1500,0,1,-0.5,0,1,0.7,0.5,0.5,0.5,1,4.5,-1,0.3,0,0,-1,2,-0.3,-0.6,-0.01,0,0,0,4.5,-1,0.2,-0.1,1,-1,-1.5,0.1,-0.5,0.3,-0.3,-0.6,-0.01,0,0,0,2,630,1500,52,8,0,0,-1,0.5,52,8,0.2,0.3,0.2,0.3,0,5,10,3,0.5,0.15,0.4,0.75,10,2.5,0.5,0.5,3,60,10,1,0.295774648
noise10,0,1,-0.5,0,1,0.7,0.5,0.5,0.5,1,4.5,-1,0.3,0,0,-1,2,-0.3,-0.6,-0.01,0,0,0,4.5,-1,0.2,-0.1,1,-1,-1.5,0.1,-0.5,0.3,-0.3,-0.6,-0.01,0,0,0,2,630,1000,52,8,0,0,-1,0.5,52,8,0.2,0.3,0.2,0.3,0,5,10,3,0.5,0.15,0.4,0.75,10,2.5,0.5,0.5,3,60,10,1,0.386503067
noise20,0,1,-0.5,0,1,0.7,0.5,0.5,0.5,1,4.5,-1,0.3,0,0,-1,2,-0.3,-0.6,-0.01,0,0,0,4.5,-1,0.2,-0.1,1,-1,-1.5,0.1,-0.5,0.3,-0.3,-0.6,-0.01,0,0,0,2,630,1000,52,8,0,0,-1,0.5,52,8,0.2,0.3,0.2,0.3,0,5,10,3,0.5,0.15,0.4,0.75,10,2.5,0.5,0.5,3,60,10,1,0.386503067
Eff05,0,1,-0.5,0,1,0.7,0.5,0.5,0.5,1,4.5,-1,0.3,0,0,-0.5,1,-0.15,-0.3,-0.005,0,0,0,4.5,-1,0.2,-0.1,0.5,-0.5,-0.75,0.1,-0.25,0.3,-0.15,-0.3,-0.005,0,0,0,2,630,1000,52,8,0,0,-1,0.5,52,8,0.2,0.3,0.2,0.3,0,5,10,3,0.5,0.15,0.4,0.75,10,2.5,0.5,0.5,3,60,10,1,0.386503067
Eff12,0,1,-0.5,0,1,0.7,0.5,0.5,0.5,1,4.5,-1,0.3,0,0,-1.2,2.4,-0.36,-0.72,-0.012,0,0,0,4.5,-1,0.2,-0.1,1.2,-1.2,-1.8,0.1,-0.6,0.3,-0.36,-0.72,-0.012,0,0,0,2,630,1000,52,8,0,0,-1,0.5,52,8,0.2,0.3,0.2,0.3,0,5,10,3,0.5,0.15,0.4,0.75,10,2.5,0.5,0.5,3,60,10,1,0.386503067
Eff20,0,1,-0.5,0,1,0.7,0.5,0.5,0.5,1,4.5,-1,0.3,0,0,-2,4,-0.6,-1.2,-0.02,0,0,0,4.5,-1,0.2,-0.1,2,-2,-3,0.1,-1,0.3,-0.6,-1.2,-0.02,0,0,0,2,630,1000,52,8,0,0,-1,0.5,52,8,0.2,0.3,0.2,0.3,0,5,10,3,0.5,0.15,0.4,0.75,10,2.5,0.5,0.5,3,60,10,1,0.386503067
n250m500,0,1,-0.5,0,1,0.7,0.5,0.5,0.5,1,4.5,-1,0.3,0,0,-1,2,-0.3,-0.6,-0.01,0,0,0,4.5,-1,0.2,-0.1,1,-1,-1.5,0.1,-0.5,0.3,-0.3,-0.6,-0.01,0,0,0,2,250,500,52,8,0,0,-1,0.5,52,8,0.2,0.3,0.2,0.3,0,5,10,3,0.5,0.15,0.4,0.75,10,2.5,0.5,0.5,3,60,10,1,0.333333333
n250m300,0,1,-0.5,0,1,0.7,0.5,0.5,0.5,1,4.5,-1,0.3,0,0,-1,2,-0.3,-0.6,-0.01,0,0,0,4.5,-1,0.2,-0.1,1,-1,-1.5,0.1,-0.5,0.3,-0.3,-0.6,-0.01,0,0,0,2,250,300,52,8,0,0,-1,0.5,52,8,0.2,0.3,0.2,0.3,0,5,10,3,0.5,0.15,0.4,0.75,10,2.5,0.5,0.5,3,60,10,1,0.454545455
n250m250,0,1,-0.5,0,1,0.7,0.5,0.5,0.5,1,4.5,-1,0.3,0,0,-1,2,-0.3,-0.6,-0.01,0,0,0,4.5,-1,0.2,-0.1,1,-1,-1.5,0.1,-0.5,0.3,-0.3,-0.6,-0.01,0,0,0,2,250,250,52,8,0,0,-1,0.5,52,8,0.2,0.3,0.2,0.3,0,5,10,3,0.5,0.15,0.4,0.75,10,2.5,0.5,0.5,3,60,10,1,0.5
